T,P,phase_name,x(CO),x(CU),x(NI),w(CO),w(CU),w(NI),G,f(@FCC),y(CO#1@FCC),y(CU#1@FCC),y(NI#1@FCC),y(CO#2@FCC),y(CU#2@FCC),y(NI#2@FCC),G(@FCC),n_kg,n_mole
273,1,FCC,0.33334,0.33333,0.33333,0.325294,0.350746,0.32396,-6558.976714,1,0.00581981,0.00684661,0.987334,0.442513,0.442158,0.115329,-6558.976714,0.060390652,1
373,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-7403.051947,1,0.016180153,0.018612492,0.965207356,0.439059949,0.438235836,0.122704215,-7403.051947,0.060390652,1
473,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-8263.115047,1,0.032719388,0.037038945,0.930241668,0.433546871,0.432093685,0.134359444,-8263.115047,0.060390652,1
573,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-9145.808208,1,0.05341638,0.059517139,0.887066481,0.426647873,0.424600954,0.148751173,-9145.808208,0.060390652,1
673,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-10050.50326,1,0.075509168,0.082749652,0.841741181,0.419283611,0.416856783,0.163859607,-10050.50326,0.060390652,1
773,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-10972.21931,1,0.096928621,0.104424926,0.798646454,0.412143793,0.409631692,0.178224515,-10972.21931,0.060390652,1
873,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-11904.75886,1,0.11661213,0.123467036,0.759920834,0.405582623,0.403284321,0.191133055,-11904.75886,0.060390652,1
973,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-12842.43976,1,0.134223111,0.139629149,0.72614774,0.399712296,0.39789695,0.202390754,-12842.43976,0.060390652,1
1073,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-13780.66868,1,0.149809097,0.15307381,0.697117093,0.394516968,0.393415397,0.212067636,-13780.66868,0.060390652,1
1173,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-14715.94882,1,0.163574437,0.164113536,0.672312028,0.389928521,0.389735488,0.220335991,-14715.94882,0.060390652,1
1273,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-15645.69884,1,0.175762027,0.173083543,0.65115443,0.385865991,0.386745486,0.227388523,-15645.69884,0.060390652,1
1373,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-16568.04829,1,0.186601421,0.180289592,0.633108986,0.38225286,0.384343469,0.233403671,-16568.04829,0.060390652,1
1473,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-17481.66341,1,0.196290537,0.185991882,0.617717581,0.379023154,0.382442706,0.23853414,-17481.66341,0.060390652,1
1573,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-18385.61314,1,0.204992465,0.190404236,0.604603298,0.376122512,0.380971921,0.242905567,-18385.61314,0.060390652,1
1673,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-19279.27009,1,0.212838241,0.193698814,0.593462945,0.373507253,0.379873729,0.246619018,-19279.27009,0.060390652,1
1773,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-20162.239,1,0.219931413,0.196012109,0.584056478,0.371142862,0.37910263,0.249754507,-20162.239,0.060390652,1
1873,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-21034.30555,1,0.226352685,0.19745057,0.576196746,0.369002439,0.378623144,0.252374418,-21034.30555,0.060390652,1
1973,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-21895.40037,1,0.232163955,0.198095293,0.569740751,0.367065348,0.378408236,0.254526416,-21895.40037,0.060390652,1
2073,1,FCC,0.33334,0.33333,0.33333,0.325294156,0.350746141,0.323959703,-22745.57427,1,0.237411623,0.198005704,0.564582673,0.365316126,0.378438099,0.256245776,-22745.57427,0.060390652,1
